ChineseName,GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox_one,ChineseVersion4,xbox_serious,ChineseVersion5,switch,ChineseVersion6,three_ds,ChineseVersion7,psv,ChineseVersion8,ImgUrl
幻想高尔夫,失踪：J.J.麦克菲尔德和追忆岛,The Missing: J.J. Macfield and the Island of Memories,"ns, ps4, xb1, pc, ",White Owls Inc.,Arc System Works,2018-10-11,true,2018-10-11,true,,,2018-10-11,true,,,2018-10-11,true,,,,,"https://img01.vgtime.com/game/cover/2021/02/16/210216165455150_u7414.jpg?x-oss-process=image/resize,w_300"
ChineseName,GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox_one,ChineseVersion4,xbox_serious,ChineseVersion5,switch,ChineseVersion6,three_ds,ChineseVersion7,psv,ChineseVersion8,ImgUrl
百尺机器人高尔夫,百尺机器人高尔夫,100ft Robot Golf,"ps4, ",No Goblin,No Goblin,,,2016-10-10,false,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/160606102948296.jpg?x-oss-process=image/resize,w_300"
428 被封锁的涩谷,428 被封锁的涩谷,428 ～封鎖された渋谷で～,"ps4, pc, ps3, wii, psp, ",Chunsoft,Spike Chunsoft,2018-09-06,true,2018-09-06,true,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/150729092850896.jpg?x-oss-process=image/resize,w_300"
1001颗钉子,1001颗钉子,1001 Spikes,"ps4, pc, wiiu, psv, 3ds, ",8bits Fanatics,Nicalis,2014-06-03,false,2014-06-03,false,,,,,,,,,2014-06-03,false,2014-06-03,false,"https://img01.vgtime.com/game/web/150420212651354.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地4,Battlefield 4,"ps4, xb1, pc, ps3, x360, ",DICE,EA,2013-10-29,false,2013-10-29,false,,,2013-10-29,false,,,,,,,,,"https://img01.vgtime.com/game/web/150427162716904.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,坚守阵地2,Fieldrunners 2,"pc, psv, ",Twitchy Thumbs Entertainment,Subatomic Studios,2012-07-19,false,,,,,,,,,,,,,2012-07-19,false,"https://img01.vgtime.com/game/web/150716104708585.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地：硬仗,Battlefield: Hardline,"ps4, xb1, pc, ps3, x360, ",Visceral Games,EA,2015-03-17,false,2015-03-17,false,,,2015-03-17,false,,,,,,,,,"https://img01.vgtime.com/game/web/150429211157177.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地3,Battlefield 3,"ps3, x360, ",EA,EA,,,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/150911113615600.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地2,Battlefield 2,"pc, ",DICE,EA,2005-06-21,true,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/08/18/180818170124316.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,幻想高尔夫,@field,"psv, ",Sonic Powered,Sonic Powered,,,,,,,,,,,,,,,2012-03-29,false,"https://img01.vgtime.com/game/web/151012142451243.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地1,Battlefield 1,"ps4, xb1, pc, ",DICE,EA,2016-10-21,false,2016-10-21,false,,,2016-10-21,false,,,,,,,,,"https://img01.vgtime.com/game/web/160507080428273.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,机动战士高达战记U.C.0081,機動戦士ガンダム戦記 MOBILE SUIT GUNDAM BATTLEFIELD RECORD U.C.0081,"ps3, ",Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/150728154906417.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,坚守阵地,Fieldrunners,"pc, psp, nds, ",Subatomic Studios,Subatomic Studios,2009-09-30,false,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/1510261428379745.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地1943,Battlefield 1943,"ps3, x360, ",DICE,EA,,,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/151023133142577.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地 恶人连2,Battlefield: Bad Company 2,"pc, ps3, x360, ",DICE,EA,2010-03-02,false,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/1604281530479740.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地5,Battlefield V,"ps4, xb1, pc, ",DICE,EA,2018-11-20,true,2018-11-20,true,,,2018-11-20,true,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/05/24/180524135651231.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战场的赋格曲,戦場のフーガ,"xsx|s, ps5, ns, ps4, xb1, pc, ",CyberConnect2,CyberConnect2,2021-07-29,true,2021-07-29,true,2021-07-29,true,2021-07-29,true,2021-07-29,true,2021-07-29,true,,,,,"https://img01.vgtime.com/game/cover/2021/06/15/210615122638222_u7414.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地2142,Battlefield 2142,"pc, ",DICE,EA,2006-10-17,false,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/08/19/180819105434243.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地1942,Battlefield 1942,"pc, xbox, ",DICE,EA,2002-09-10,true,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/08/17/180817151033821.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地 恶人连,Battlefield: Bad Company,"ps3, x360, ",DICE,EA,,,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/151104152657861.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地2042,Battlefield 2042,"xsx|s, ps5, ps4, xb1, pc, ",DICE,EA,2021-10-22,true,2021-10-22,true,2021-10-22,true,2021-10-22,true,2021-10-22,true,,,,,,,"https://img01.vgtime.com/game/cover/2021/06/09/210609231509332_u8855.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,失踪：J.J.麦克菲尔德和追忆岛,The Missing: J.J. Macfield and the Island of Memories,"ns, ps4, xb1, pc, ",White Owls Inc.,Arc System Works,2018-10-11,true,2018-10-11,true,,,2018-10-11,true,,,2018-10-11,true,,,,,"https://img01.vgtime.com/game/cover/2021/02/16/210216165455150_u7414.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,掠夺之地,Ravenfield,"pc, ",SteelRaven7,SteelRaven7,2017-05-18,true,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2021/04/20/2104201725493_u7414.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,星域,Starfield,"xsx|s, pc, ",Bethesda,Bethesda,2022-11-11,true,,,,,,,2022-11-11,true,,,,,,,"https://img01.vgtime.com/game/cover/2018/06/20/180620111640832.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地 越南,Battlefield Vietnam,"pc, ",DICE,EA,2004-03-04,false,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/08/17/180817153800845.jpg?x-oss-process=image/resize,w_300"
ChineseName,GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox_one,ChineseVersion4,xbox_serious,ChineseVersion5,switch,ChineseVersion6,three_ds,ChineseVersion7,psv,ChineseVersion8,ImgUrl
1001颗钉子,1001颗钉子,1001 Spikes,"ps4, pc, wiiu, psv, 3ds, ",8bits Fanatics,Nicalis,2014-06-03,false,2014-06-03,false,,,,,,,,,2014-06-03,false,2014-06-03,false,"https://img01.vgtime.com/game/web/150420212651354.jpg?x-oss-process=image/resize,w_300"
百尺机器人高尔夫,百尺机器人高尔夫,100ft Robot Golf,"ps4, ",No Goblin,No Goblin,,,2016-10-10,false,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/160606102948296.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地5,Battlefield V,"ps4, xb1, pc, ",DICE,EA,2018-11-20,true,2018-11-20,true,,,2018-11-20,true,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/05/24/180524135651231.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,幻想高尔夫,@field,"psv, ",Sonic Powered,Sonic Powered,,,,,,,,,,,,,,,2012-03-29,false,"https://img01.vgtime.com/game/web/151012142451243.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地2,Battlefield 2,"pc, ",DICE,EA,2005-06-21,true,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/08/18/180818170124316.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地4,Battlefield 4,"ps4, xb1, pc, ps3, x360, ",DICE,EA,2013-10-29,false,2013-10-29,false,,,2013-10-29,false,,,,,,,,,"https://img01.vgtime.com/game/web/150427162716904.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地：硬仗,Battlefield: Hardline,"ps4, xb1, pc, ps3, x360, ",Visceral Games,EA,2015-03-17,false,2015-03-17,false,,,2015-03-17,false,,,,,,,,,"https://img01.vgtime.com/game/web/150429211157177.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地1943,Battlefield 1943,"ps3, x360, ",DICE,EA,,,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/151023133142577.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,坚守阵地,Fieldrunners,"pc, psp, nds, ",Subatomic Studios,Subatomic Studios,2009-09-30,false,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/1510261428379745.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,机动战士高达战记U.C.0081,機動戦士ガンダム戦記 MOBILE SUIT GUNDAM BATTLEFIELD RECORD U.C.0081,"ps3, ",Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/150728154906417.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地 恶人连2,Battlefield: Bad Company 2,"pc, ps3, x360, ",DICE,EA,2010-03-02,false,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/1604281530479740.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地3,Battlefield 3,"ps3, x360, ",EA,EA,,,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/150911113615600.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,坚守阵地2,Fieldrunners 2,"pc, psv, ",Twitchy Thumbs Entertainment,Subatomic Studios,2012-07-19,false,,,,,,,,,,,,,2012-07-19,false,"https://img01.vgtime.com/game/web/150716104708585.jpg?x-oss-process=image/resize,w_300"
428 被封锁的涩谷,428 被封锁的涩谷,428 ～封鎖された渋谷で～,"ps4, pc, ps3, wii, psp, ",Chunsoft,Spike Chunsoft,2018-09-06,true,2018-09-06,true,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/150729092850896.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战场的赋格曲,戦場のフーガ,"xsx|s, ps5, ns, ps4, xb1, pc, ",CyberConnect2,CyberConnect2,2021-07-29,true,2021-07-29,true,2021-07-29,true,2021-07-29,true,2021-07-29,true,2021-07-29,true,,,,,"https://img01.vgtime.com/game/cover/2021/06/15/210615122638222_u7414.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地1942,Battlefield 1942,"pc, xbox, ",DICE,EA,2002-09-10,true,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/08/17/180817151033821.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,失踪：J.J.麦克菲尔德和追忆岛,The Missing: J.J. Macfield and the Island of Memories,"ns, ps4, xb1, pc, ",White Owls Inc.,Arc System Works,2018-10-11,true,2018-10-11,true,,,2018-10-11,true,,,2018-10-11,true,,,,,"https://img01.vgtime.com/game/cover/2021/02/16/210216165455150_u7414.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,星域,Starfield,"xsx|s, pc, ",Bethesda,Bethesda,2022-11-11,true,,,,,,,2022-11-11,true,,,,,,,"https://img01.vgtime.com/game/cover/2018/06/20/180620111640832.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地 越南,Battlefield Vietnam,"pc, ",DICE,EA,2004-03-04,false,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/08/17/180817153800845.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地2142,Battlefield 2142,"pc, ",DICE,EA,2006-10-17,false,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/08/19/180819105434243.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,掠夺之地,Ravenfield,"pc, ",SteelRaven7,SteelRaven7,2017-05-18,true,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2021/04/20/2104201725493_u7414.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地 恶人连,Battlefield: Bad Company,"ps3, x360, ",DICE,EA,,,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/151104152657861.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地2042,Battlefield 2042,"xsx|s, ps5, ps4, xb1, pc, ",DICE,EA,2021-10-22,true,2021-10-22,true,2021-10-22,true,2021-10-22,true,2021-10-22,true,,,,,,,"https://img01.vgtime.com/game/cover/2021/06/09/210609231509332_u8855.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地1,Battlefield 1,"ps4, xb1, pc, ",DICE,EA,2016-10-21,false,2016-10-21,false,,,2016-10-21,false,,,,,,,,,"https://img01.vgtime.com/game/web/160507080428273.jpg?x-oss-process=image/resize,w_300"
ChineseName,GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox_one,ChineseVersion4,xbox_serious,ChineseVersion5,switch,ChineseVersion6,three_ds,ChineseVersion7,psv,ChineseVersion8,ImgUrl
幻想高尔夫,战地2,Battlefield 2,"pc, ",DICE,EA,2005-06-21,true,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/08/18/180818170124316.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,幻想高尔夫,@field,"psv, ",Sonic Powered,Sonic Powered,,,,,,,,,,,,,,,2012-03-29,false,"https://img01.vgtime.com/game/web/151012142451243.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,坚守阵地,Fieldrunners,"pc, psp, nds, ",Subatomic Studios,Subatomic Studios,2009-09-30,false,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/1510261428379745.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地 恶人连2,Battlefield: Bad Company 2,"pc, ps3, x360, ",DICE,EA,2010-03-02,false,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/1604281530479740.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地3,Battlefield 3,"ps3, x360, ",EA,EA,,,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/150911113615600.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,坚守阵地2,Fieldrunners 2,"pc, psv, ",Twitchy Thumbs Entertainment,Subatomic Studios,2012-07-19,false,,,,,,,,,,,,,2012-07-19,false,"https://img01.vgtime.com/game/web/150716104708585.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地4,Battlefield 4,"ps4, xb1, pc, ps3, x360, ",DICE,EA,2013-10-29,false,2013-10-29,false,,,2013-10-29,false,,,,,,,,,"https://img01.vgtime.com/game/web/150427162716904.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地：硬仗,Battlefield: Hardline,"ps4, xb1, pc, ps3, x360, ",Visceral Games,EA,2015-03-17,false,2015-03-17,false,,,2015-03-17,false,,,,,,,,,"https://img01.vgtime.com/game/web/150429211157177.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地1,Battlefield 1,"ps4, xb1, pc, ",DICE,EA,2016-10-21,false,2016-10-21,false,,,2016-10-21,false,,,,,,,,,"https://img01.vgtime.com/game/web/160507080428273.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地5,Battlefield V,"ps4, xb1, pc, ",DICE,EA,2018-11-20,true,2018-11-20,true,,,2018-11-20,true,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/05/24/180524135651231.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地1943,Battlefield 1943,"ps3, x360, ",DICE,EA,,,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/151023133142577.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,机动战士高达战记U.C.0081,機動戦士ガンダム戦記 MOBILE SUIT GUNDAM BATTLEFIELD RECORD U.C.0081,"ps3, ",Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/150728154906417.jpg?x-oss-process=image/resize,w_300"
428 被封锁的涩谷,428 被封锁的涩谷,428 ～封鎖された渋谷で～,"ps4, pc, ps3, wii, psp, ",Chunsoft,Spike Chunsoft,2018-09-06,true,2018-09-06,true,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/150729092850896.jpg?x-oss-process=image/resize,w_300"
1001颗钉子,1001颗钉子,1001 Spikes,"ps4, pc, wiiu, psv, 3ds, ",8bits Fanatics,Nicalis,2014-06-03,false,2014-06-03,false,,,,,,,,,2014-06-03,false,2014-06-03,false,"https://img01.vgtime.com/game/web/150420212651354.jpg?x-oss-process=image/resize,w_300"
百尺机器人高尔夫,百尺机器人高尔夫,100ft Robot Golf,"ps4, ",No Goblin,No Goblin,,,2016-10-10,false,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/160606102948296.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,掠夺之地,Ravenfield,"pc, ",SteelRaven7,SteelRaven7,2017-05-18,true,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2021/04/20/2104201725493_u7414.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,失踪：J.J.麦克菲尔德和追忆岛,The Missing: J.J. Macfield and the Island of Memories,"ns, ps4, xb1, pc, ",White Owls Inc.,Arc System Works,2018-10-11,true,2018-10-11,true,,,2018-10-11,true,,,2018-10-11,true,,,,,"https://img01.vgtime.com/game/cover/2021/02/16/210216165455150_u7414.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,星域,Starfield,"xsx|s, pc, ",Bethesda,Bethesda,2022-11-11,true,,,,,,,2022-11-11,true,,,,,,,"https://img01.vgtime.com/game/cover/2018/06/20/180620111640832.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战场的赋格曲,戦場のフーガ,"xsx|s, ps5, ns, ps4, xb1, pc, ",CyberConnect2,CyberConnect2,2021-07-29,true,2021-07-29,true,2021-07-29,true,2021-07-29,true,2021-07-29,true,2021-07-29,true,,,,,"https://img01.vgtime.com/game/cover/2021/06/15/210615122638222_u7414.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地1942,Battlefield 1942,"pc, xbox, ",DICE,EA,2002-09-10,true,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/08/17/180817151033821.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地 越南,Battlefield Vietnam,"pc, ",DICE,EA,2004-03-04,false,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/08/17/180817153800845.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地2142,Battlefield 2142,"pc, ",DICE,EA,2006-10-17,false,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/cover/2018/08/19/180819105434243.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地 恶人连,Battlefield: Bad Company,"ps3, x360, ",DICE,EA,,,,,,,,,,,,,,,,,"https://img01.vgtime.com/game/web/151104152657861.jpg?x-oss-process=image/resize,w_300"
幻想高尔夫,战地2042,Battlefield 2042,"xsx|s, ps5, ps4, xb1, pc, ",DICE,EA,2021-10-22,true,2021-10-22,true,2021-10-22,true,2021-10-22,true,2021-10-22,true,,,,,,,"https://img01.vgtime.com/game/cover/2021/06/09/210609231509332_u8855.jpg?x-oss-process=image/resize,w_300"
