GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
杀手已死,Killer is Dead,Kadokawa Games,Kadokawa Games,2013-08-01,false,,,,,,,,,,,,,,,"pc, "
丧尸必须死,All Zombies Must Die!,Kuju Entertainment,Kuju Entertainment,,,,,,,,,,,,,,,,,"ps3, "
丧尸天启 绝不独死,Zombie Apocalypse：Never Die Alone,Konami,Konami,,,,,,,,,,,,,,,,,"ps3, "
兽人必须死,Orcs Must Die!,Robot Entertainment,Robot Entertainment,最早发售 2011-10-12,false,,,,,,,,,,,,,,,"pc, "
兽人必须死 解放,Orcs Must Die! Unchained,Robot Entertainment,Robot Entertainment,,,最早发售 2017-07-18,false,,,,,,,,,,,,,"ps4, "
兽人必须死3,Orcs Must Die! 3,Robot Entertainment,Google Stadia,,,,,,,,,,,,,,,,,"xsx|s, stadia, ps4, xb1, "
兽人必须死2,Orcs Must Die! 2,Robot Entertainment,Robot Entertainment,最早发售 2012-07-31,false,,,,,,,,,,,,,,,"pc, "
我要你死,I Expect You To Die,Schell Games,Schell Games,,,最早发售 2016-12-13,false,,,,,,,,,,,,,"ps4, "
弃尸疑云,Martha Is Dead,LKA,Wired Productions,,,,,,,,,,,,,,,,,"xsx|s, ps5, ps4, xb1, "
死印,Spirit Hunter: Death Mark,Experience,Experience,最早发售 2019-04-04,false,,,,,,,,,,,,,,,"ns, ps4, xb1, pc, "
死侍,Deadpool,High Moon Studios,Activision,,,2013-06-25,false,,,,,,,,,,,,,"ps4, "
侍铳,Samurai Gunn,Maxistentialism,Teknopants,,,2015-12-31,false,,,,,,,,,,,,,"ps4, "
侍道 携带版,侍道ポータブル,Acquire,Acquire,,,,,,,,,,,,,,,,,"psp, "
西部武士 活剧侍道,サムライウエスタン 活劇侍道,Acquire,Spike Chunsoft,,,,,,,,,,,,,,,,,"ps2, "
勇者已死,勇者死す。,日本一,日本一,,,,,,,,,,,,,,,2016-02-25,false,"psv, "
死咬 尸体纷乱,死に噛み シビトマギレ,Experience,Experience,,,,,,,,,,,,,,,,,"ns, "
笨笨的死法,Dumb Ways to Die,官网地址,Metro Trains,,,,,,,,,,,,,,,,,"ios, "
忍者必须死 3,Ninja Must Die 3,网易游戏,网易游戏,,,,,,,,,,,,,,,,,"ios, "
永恒之柱2 死火,Pillars of Eternity 2: Deadfire,Obsidian,Obsidian,,,,,,,,,,,,,,,,,"ns, ps4, xb1, "
死星,Dead Star,Armature Studio,Armature Studio,,,2016-04-05,false,,,,,,,,,,,,,"ps4, "
死在迷宫地下,メイQノ地下二死ス,Compile Heart,Compile Heart,,,,,,,,,,,,,,,2015-12-17,false,"psv, "
别死 机器先生,Don't Die,Infinite State Games,Infinite State Games,,,,,,,,,,,,,,,2014-11-04,false,"psv, "
