GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
使命召唤 战区,Call of Duty: Warzone,Activision,Activision,,,,,,,,,,,,,,,,,"ps4, xb1, "
使命召唤 黑色行动 冷战,Call of Duty: Black Ops Cold War,Treyarch,Activision,,,,,,,,,,,,,,,,,"xsx|s, ps5, ps4, xb1, "
使命召唤 现代战争3,Call of Duty：Modern Warfare 3,Activision,Activision,2011-11-08,false,,,,,,,,,,,,,,,"pc, "
使命召唤 典藏版,Call of Duty Classic,Infinity Ward,Activision,,,,,,,,,,,,,,,,,"ps3, "
使命召唤 现代战争 反应版,Call of Duty: Modern Warfare: Reflex Edition,Infinity Ward,Activision Blizzard,,,,,,,,,,,,,,,,,"wii, "
使命召唤：战火世界,Call of Duty: World at War,Treyarch,Activision,2008-11-10,false,,,,,,,,,,,,,,,"pc, "
使命召唤4：现代战争,Call of Duty 4: Modern Warfare,Infinity Ward,Activision,2007-11-05,false,,,,,,,,,,,,,,,"pc, "
使命召唤：胜利之路,Call of Duty: Roads to Victory,Amaze Entertainment,Activision,,,,,,,,,,,,,,,,,"psp, "
使命召唤2,Call of Duty 2,Infinity Ward,Activision,2005-10-25,false,,,,,,,,,,,,,,,"pc, "
使命召唤：黑色行动,Call of Duty: Black Ops,Treyarch,Activision,2010-11-19,false,,,,,,,,,,,,,,,"pc, "
使命召唤 现代战争2,Call of Duty: Modern Warfare 2,Infinity Ward,Activision,2009-11-10,false,,,,,,,,,,,,,,,"pc, "
使命召唤：高级战争,Call of Duty: Advanced Warfare,Sledgehammer Games,Activision,,,2014-11-04,false,,,,,,,,,,,,,"ps4, "
使命召唤手游,Call of Duty M,天美工作室群,腾讯游戏,,,,,,,,,,,,,,,,,"ios, "
使命召唤 现代战争2 战役高清版,Call of Duty Modern Warfare 2 - Campaign Remastered -,Beenox,Activision,,,,,,,,,,,,,,,,,"ps4, xb1, "
使命召唤 二战,Call of Duty: WWⅡ,Sledgehammer Games,Activision,,,2017-11-03,false,,,,,,,,,,,,,"ps4, "
突击：二战,RAID: World War II,Lion Game Lion,Starbreeze Studios,,,,,,,,,,,,,,,,,"ps4, xb1, "
使命召唤 黑色行动4,Call of Duty: Black Ops IIII,Treyarch,Activision,,,,,,,,,,,,,,,,,"ps4, xb1, "
使命召唤 先锋,Call of Duty: Vanguard,Sledgehammer Games,Activision,,,,,,,,,,,,,,,,,"xsx|s, ps5, ps4, xb1, "
炽天使2 二战绝密使命,Blazing Angels 2: Secret Missions of WWII,Ubisoft,Ubisoft,2007-09-07,false,,,,,,,,,,,,,,,"pc, "
使命召唤 现代战争,Call of Duty: Modern Warfare,Infinity Ward,Activision,,,,,,,,,,,,,,,,,"ps4, xb1, "
使命召唤 现代战争 重制版,Call of Duty Modern Warfare Remastered,Infinity Ward,Activision Blizzard,,,2016-11-04,false,,,,,,,,,,,,,"ps4, "
使命召唤：无尽战争,Call of Duty:Infinite Warfare,Infinity Ward,Activision,,,2016-11-04,false,,,,,,,,,,,,,"ps4, "
使命召唤：黑色行动3,Call of Duty: Black Ops III,Treyarch,Activision,,,2015-11-06,false,,,,,,,,,,,,,"ps4, "
使命召唤：幽灵,Call of Duty: Ghosts,Infinity Ward,Activision,,,2013-11-15,false,,,,,,,,,,,,,"ps4, "
使命召唤：黑色行动：解密,Call of Duty: Black Ops: Declassified,Nihilistic Software,Activision,,,,,,,,,,,,,,,2012-11-13,false,"psv, "
使命召唤：黑色行动2,Call of Duty: Black Ops II,Treyarch,Activision,2012-11-12,false,,,,,,,,,,,,,,,"pc, "
