GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
战争机器：终极版,Gears of War:Ultimate Edition,The Coalition,Microsoft,,,,,,,,,,,,,,,,,"xb1, "
耻辱 终极版,Dishonored Definitive Edition,Arkane Studios,Bethesda,,,2015-08-25,false,,,,,,,,,,,,,"ps4, "
俄罗斯方块：终极版,Tetris Ultimate,SoMa Play,Ubisoft,,,2014-11-11,false,,,,,,,,,,,,,"ps4, "
热血无赖：终极版,Sleeping Dogs: Definitive Edition,United Front Games,Square Enix,,,2014-10-14,false,,,,,,,,,,,,,"ps4, "
僵尸车手 终极版,Zombie Driver Ultimate Edition,EXOR Studios,EXOR Studios,,,,,,,,,,,,,,,,,"xb1, "
像素垃圾射手 终极版,PixelJunk shooter Ultimate,Double Eleven,Sony Interactive Entertainment,,,2014-06-03,false,,,,,,,,,,,,,"ps4, "
古墓丽影：终极版,Tomb Raider: Definitive Edition,Crystal Dynamics,Square Enix,,,,,,,,,,,,,,,,,"stadia, ps4, xb1, "
像素垃圾妖怪终极版 HD,Pixeljunk Monsters Ultimate HD,Double Eleven,Double Eleven,2013-11-26,false,,,,,,,,,,,,,,,"pc, "
不义联盟：人间之神终极版,Injustice: Gods Among Us Ultimate Edition,High Voltage Software,Warner Bros. Games,,,2013-11-12,false,,,,,,,,,,,,,"ps4, "
无双大蛇2 终极版,無双OROCHI2 Ultimate,Omega Force,Koei Tecmo,,,,,,,,,,,,,,,,,"ns, "
死或生5 终极版,DEAD OR ALIVE 5 Ultimate,Koei Tecmo,Koei Tecmo,,,,,,,,,,,,,,,,,"ps3, "
城堡风暴：终极版,CastleStorm: Definitive Edition,Zen Studios,Zen Studios,,,最早发售 2014-09-23,true,,,,,,,,,,,,,"ps4, "
帝国时代：终极版,Age of Empires: Definitive Edition,Forgotten Empires,Microsoft,2018-02-20,false,,,,,,,,,,,,,,,"pc, "
帝国时代3 终极版,Age of Empires III: Definitive Edition,Tantalus Media,Microsoft,最早发售 2020-10-15,true,,,,,,,,,,,,,,,"pc, "
帝国时代2 终极版,Age of Empires II: Definitive Edition,Forgotten Empires,Microsoft,最早发售 2019-11-14,true,,,,,,,,,,,,,,,"pc, "
帝国时代2 高清版,Age of Empires II HD,Hidden Path Entertainment,Microsoft,2013-04-10,false,,,,,,,,,,,,,,,"pc, "
帝国时代3：完全版,Age of Empires III: Complete Collection,官网地址,Microsoft,最早发售 2009-09-15,false,,,,,,,,,,,,,,,"pc, "
帝国时代 神话,Age of Empires: Mythologies,Griptonite Games,THQ Nordic,,,,,,,,,,,,,,,,,"nds, "
帝国时代 帝王时代,Age of Empires: The Age of Kings,Majesco Entertainment,Majesco Entertainment,,,,,,,,,,,,,,,,,"nds, "
帝国时代2,Age of Empires II,Ensemble Studios,Microsoft,最早发售 1999-09-30,false,,,,,,,,,,,,,,,"pc, "
帝国时代4,Age Of Empires 4,Relic Entertainment,Microsoft,最早发售 2021-10-28,false,,,,,,,,,,,,,,,"pc, "
薄暮传说 终极版,テイルズ オブ ヴェスペリア REMASTER,Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,,"ns, "
超级星尘终极版VR,Star Strike Ultra VR,Sony Interactive Entertainment,Sony Interactive Entertainment,,,2016-10-10,false,,,,,,,,,,,,,"ps4, "
杀手GO 终极版,Hitman GO: Definitive Edition,Square Enix,Square Enix,,,2016-02-23,false,,,,,,,,,,,,,"ps4, "
