GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
吉娜姐妹 扭曲梦境 导演剪辑版,Giana Sisters: Twisted Dreams - Director's Cut,Black Forest Games,Black Forest Games,最早发售 2013-09-23,false,,,,,,,,,,,,,,,"ps4, xb1, pc, "
孤独之海 导演剪辑版,Sea of Solitude: The Director's Cut,Jo-Mei Games,Quantic Dream,,,,,,,,,,,,,,,,,"ns, "
死亡搁浅 导演剪辑版,DEATH STRANDING DIRECTOR'S CUT,Kojima Productions,Sony Interactive Entertainment,,,,,最早发售 2021-09-24,true,,,,,,,,,,,"ps5, "
对马之魂 导演剪辑版,Ghost of Tsushima Director's Cut,Sucker Punch,Sony Interactive Entertainment,,,,,最早发售 2021-08-20,true,,,,,,,,,,,"ps5, "
杀出重围 人类革命 导演剪辑版,Deus Ex: Human Revolution — Director's Cut,Eidos,Square Enix,2013-10-22,false,,,,,,,,,,,,,,,"pc, "
杀出重围：人类革命,Deus Ex: Human Revolution,Eidos,Square Enix,2011-08-23,false,,,,,,,,,,,,,,,"pc, "
杀出重围,Deus Ex,Ion Storm,Eidos,2000-06-17,false,,,,,,,,,,,,,,,"pc, "
杀出重围：人类分裂,Deus Ex: Mankind Divided,Eidos,Square Enix,,,2016-08-23,false,,,,,,,,,,,,,"ps4, "
雷电5 导演剪辑版,Raiden V: Director's Cut,MOSS,MOSS,,,最早发售 2017-09-14,true,,,,,,,,,,,,,"ns, ps4, "
死光：导演剪辑版,Deadlight：Director's Cut,Tequila Works,Tequila Works,,,2016-06-21,false,,,,,,,,,,,,,"ps4, "
发色团：兄弟导演剪辑版,Chromophore: The Two Brothers - Director's Cut,Ackk Studios,Ackk Studios,2014-12-31,false,,,,,,,,,,,,,,,"pc, "
洛克·波舍尔DX导演剪辑版,Rock Boshers DX Director's cut,射击,Tikipod,,,2014-12-10,false,,,,,,,,,,,,,"ps4, "
强袭装甲零式 导演剪辑版,Strike Suit Zero:Director's Cut,Born Ready Games,Born Ready Games,,,2014-04-08,false,,,,,,,,,,,,,"ps4, "
生化危机5 导演剪辑版,バイオハザード5 オルタナティブ・エディション,CAPCOM,CAPCOM,2010-02-18,false,,,,,,,,,,,,,,,"pc, "
断剑 圣堂武士之谜（导演剪辑版）,Broken Sword: Shadow of the Templars (The Director's Cut),Ubisoft,Ubisoft,,,,,,,,,,,,,,,,,"wii, "
宿命传说 导演剪辑版,テイルズ オブ デスティニー ディレクターズカット,Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,,"ps2, "
